trade type,trade price,trade squareoff price,trade profit,trade loss,stoploss level,trade_exit_at,trade__taken_near_level (support/resistance),trade_taken_at
buy,19314.55,19298.95,0,12.549999999999272,19302,2023-07-03 10:52:00,19312,2023-07-03 09:57:00
sell,19308.15,19257.35,50.80000000000291,0,19322,2023-07-03 11:23:00,19312,2023-07-03 10:56:00
sell,19308.65,19322.9,0,13.349999999998545,19322,2023-07-04 10:04:00,19312,2023-07-04 09:59:00
buy,19316.45,19365.85,49.39999999999782,0,19302,2023-07-04 12:06:00,19312,2023-07-04 10:10:00
sell,19372.7,19393.85,0,12.299999999999272,19385,2023-07-05 09:55:00,19375,2023-07-05 09:49:00
buy,19376.4,19364.4,0,11.400000000001455,19365,2023-07-05 10:33:00,19375,2023-07-05 09:58:00
sell,19371.1,19385.6,0,13.900000000001455,19385,2023-07-05 10:52:00,19375,2023-07-05 10:36:00
sell,19436.1,19451.9,0,11.900000000001455,19448,2023-07-06 10:13:00,19438,2023-07-06 10:08:00
buy,19442.6,19493.9,51.30000000000291,0,19428,2023-07-06 14:46:00,19438,2023-07-06 10:20:00
buy,19502.4,19490.65,0,11.400000000001455,19491,2023-07-07 10:13:00,19501,2023-07-07 09:53:00
sell,19496.55,19445.7,50.849999999998545,0,19511,2023-07-07 10:44:00,19501,2023-07-07 10:14:00
buy,19375.55,19364.7,0,10.549999999999272,19365,2023-07-10 11:30:00,19375,2023-07-10 11:22:00
buy,19379.95,19358.15,0,14.950000000000728,19365,2023-07-10 12:24:00,19375,2023-07-10 12:20:00
sell,19372.6,19388.5,0,12.400000000001455,19385,2023-07-10 12:52:00,19375,2023-07-10 12:31:00
sell,19496.05,19511.1,0,14.950000000000728,19511,2023-07-11 11:59:00,19501,2023-07-11 10:51:00
buy,19503.3,19489.35,0,12.299999999999272,19491,2023-07-11 12:15:00,19501,2023-07-11 12:06:00
sell,19498.25,19444.25,54.0,0,19511,2023-07-11 14:18:00,19501,2023-07-11 13:00:00
buy,19438.75,19427.0,0,10.75,19428,2023-07-12 10:21:00,19438,2023-07-12 10:19:00
sell,19434.7,19452.5,0,13.299999999999272,19448,2023-07-12 10:32:00,19438,2023-07-12 10:22:00
buy,19441.95,19426.35,0,13.950000000000728,19428,2023-07-12 11:40:00,19438,2023-07-12 11:24:00
sell,19561.0,19509.95,51.04999999999927,0,19574,2023-07-13 13:52:00,19564,2023-07-13 10:09:00
buy,19441.75,19492.85,51.099999999998545,0,19428,2023-07-14 11:29:00,19438,2023-07-14 10:10:00
sell,19625.1,19639.5,0,11.900000000001455,19637,2023-07-17 10:17:00,19627,2023-07-17 10:05:00
buy,19627.95,19610.55,0,10.950000000000728,19617,2023-07-17 10:24:00,19627,2023-07-17 10:21:00
sell,19623.4,19637.1,0,13.599999999998545,19637,2023-07-17 12:17:00,19627,2023-07-17 10:32:00
buy,19757.9,19811.8,53.89999999999782,0,19743,2023-07-18 11:08:00,19753,2023-07-18 09:49:00
sell,19814.1,19830.25,0,11.900000000001455,19826,2023-07-19 09:54:00,19816,2023-07-19 09:49:00
sell,19815.3,19828.35,0,10.700000000000728,19826,2023-07-19 10:07:00,19816,2023-07-19 10:05:00
buy,19820.55,19805.7,0,14.549999999999272,19806,2023-07-19 10:36:00,19816,2023-07-19 10:16:00
sell,19812.85,19832.35,0,13.150000000001455,19826,2023-07-20 10:26:00,19816,2023-07-20 10:02:00
buy,19820.55,19870.2,49.650000000001455,0,19806,2023-07-20 12:23:00,19816,2023-07-20 10:51:00
