Datetime,Company Name,Buy Price,Trade Type,Target Achieved,Profit,Loss,SL
2023-02-23 09:19:00+05:30,EICHERMOT.NS,3265,short,3245.39990234375,19.60009765625,NA,NA
2023-02-23 09:30:00+05:30,ASIANPAINT.NS,2754,short,2745.949951171875,8.050048828125,NA,NA
2023-02-23 15:07:00+05:30,ASIANPAINT.NS,2711,short,2705.64990234375,5.35009765625,NA,NA
2023-02-23 15:29:00+05:30,ASIANPAINT.NS,2701,short,NA,NA,6.0,2707.0
2023-02-23 09:15:00+05:30,ASIANPAINT.NS,2805,short,2783.85009765625,21.14990234375,NA,NA
2023-02-23 09:22:00+05:30,HDFC.NS,2607,short,2598.0,9.0,NA,NA
2023-02-23 09:43:00+05:30,HDFC.NS,2598,short,2588.0,10.0,NA,NA
2023-02-23 10:11:00+05:30,^NSEI,17584,short,17572.25,11.75,NA,NA
2023-02-23 13:46:00+05:30,DIVISLAB.NS,2883,short,NA,NA,6.800048828125,2889.800048828125
2023-02-23 09:50:00+05:30,DIVISLAB.NS,2904,short,NA,NA,6.0,2910.0
2023-02-23 09:20:00+05:30,HEROMOTOCO.NS,2507,short,2501.60009765625,5.39990234375,NA,NA
2023-02-23 10:22:00+05:30,DRREDDY.NS,4503,long,4509.85009765625,6.85009765625,NA,NA
2023-02-23 09:39:00+05:30,BAJAJ-AUTO.NS,3845,long,NA,NA,7.5,3837.5
2023-02-23 09:42:00+05:30,SBILIFE.NS,1137,short,1131.0,6.0,NA,NA
2023-02-23 09:15:00+05:30,INDUSINDBK.NS,1096,short,1092.699951171875,3.300048828125,NA,NA
